,open,high,low,close,volume,trade_count,vwap,sma5,sma10,sma20,sma50,sma100,sma200,ema13,ema485,std,lower20,upper20,rsi,macd_delta,stochastic_delta,plus_di,minus_di,adx_smooth,kijun_sen,tenkan_sen,senkou_span_a,senkou_span_b,obv
2020-08-17,445.69,445.69,430.0,430.0,142.793,7.0,420.1970336781,0.0,0.0,0.0,0.0,0.0,0.0,420.30230769230775,420.80932989690723,0.0,0.0,0.0,0.0,-0.5215565610859357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.793
2020-08-18,425.0,425.0,410.27,411.99,16.166,9.0,408.4672454534,0.0,0.0,0.0,0.0,0.0,0.0,417.1414960629922,417.7891700612802,0.0,0.0,0.0,0.0,-0.7937276304743863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126.62700000000001
2020-08-19,410.69,412.11,393.87,412.11,11.742,4.0,416.4926758644,0.0,0.0,0.0,0.0,0.0,0.0,417.2248416289593,417.68843518943424,0.0,0.0,0.0,0.0,-0.746327974036325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.885
2020-08-20,416.5,417.41,414.99,417.41,7.35,9.0,402.419907483,411.084,0.0,0.0,0.0,0.0,0.0,408.3676901782749,410.36433551361785,0.0,0.0,0.0,0.0,-1.6320602491113325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.235
2020-08-21,403.76,404.55,383.91,383.91,0.087,4.0,371.5549425287,402.11600000000004,0.0,0.0,0.0,0.0,0.0,402.8734632991986,405.71890220652136,0.0,0.0,0.0,0.0,-2.0051826689798182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.148
2020-08-25,372.24,385.16,370.65,385.16,0.115,6.0,386.3085217391,397.31800000000004,0.0,0.0,0.0,0.0,0.0,399.654505331977,402.8639612497641,0.0,0.0,0.0,0.0,-1.9945149989453324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.033
2020-08-26,382.94,388.0,378.87,388.0,0.103,6.0,382.2877669903,392.282,0.0,0.0,0.0,0.0,0.0,397.08933942281686,400.573162393377,0.0,0.0,0.0,0.0,-1.8613211324499601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.136
2020-08-27,394.99,394.99,378.87,386.93,0.002,1.0,394.99,387.79800000000006,0.0,0.0,0.0,0.0,0.0,396.68960664503214,399.84567655984574,0.0,0.0,0.0,0.0,-1.3924868896593021,0.0,0.0,0.0,0.0,0.0,408.16999999999996,0.0,0.0,-122.134
2020-08-28,394.99,394.99,394.99,394.99,1.362,3.0,404.045256975,391.804,401.444,0.0,0.0,0.0,0.0,398.00747856840974,400.3351638300985,0.0,0.0,0.0,0.0,-0.7229137053006802,0.0,0.0,0.0,0.0,0.0,397.825,0.0,0.0,-120.772
2020-08-29,403.05,405.12,403.05,403.94,16.638,13.0,417.4083597788,400.03000000000003,401.073,0.0,0.0,0.0,0.0,402.95573832979017,403.210550700577,0.0,0.0,0.0,0.0,0.4136007342454975,0.0,0.0,0.0,0.0,0.0,399.64,0.0,0.0,-104.134
2020-08-30,407.46,428.63,407.46,426.29,4.004,24.0,422.3969480519,411.088,404.203,0.0,0.0,0.0,0.0,409.79306363272457,407.3587696514888,0.0,0.0,0.0,0.0,1.5985294596192423,0.0,0.0,0.0,0.0,0.0,407.31,0.0,0.0,-100.13
2020-08-31,424.72,443.97,418.7,443.29,8.603,25.0,477.6398023945,428.4620000000001,410.372,0.0,0.0,0.0,0.0,420.36154964386327,413.82729322778266,0.0,0.0,0.0,0.0,3.1206205764688315,0.0,0.0,0.0,0.0,0.0,429.505,0.0,0.0,-91.527
2020-09-01,454.03,488.36,454.03,473.8,14.303,36.0,441.055919038,436.938,412.36800000000005,0.0,0.0,0.0,0.0,423.10874885940615,415.9958370581099,0.0,0.0,0.0,0.0,2.7950864767166146,0.0,47.7415386649096,37.76579790089391,0.0,0.0,429.505,0.0,0.0,-105.83
2020-09-02,479.58,479.58,421.88,437.37,509.299,154.0,408.3957452695,433.712,412.758,0.0,0.0,0.0,0.0,417.5117606641484,413.52725270091366,0.0,0.0,0.0,40.41627755198225,0.9968514415057105,0.0,36.78466225420235,49.88852269186515,11.913115542112353,0.0,431.635,0.0,0.0,-615.129
2020-09-03,434.94,435.98,374.91,387.81,91.046,94.0,382.1035674275,425.78200000000004,412.90600000000006,0.0,0.0,0.0,0.0,412.69239834113824,411.2784943472251,0.0,0.0,0.0,40.13431891862082,-0.16610495174474038,-9.520966413384574,31.061400441944322,48.51829624451033,13.827777603098005,0.0,423.695,0.0,0.0,-706.1750000000001
2020-09-04,387.0,399.12,359.03,386.64,625.532,216.0,340.7672927684,401.316,406.20200000000006,0.0,0.0,0.0,0.0,398.5594268579894,404.03760488871006,0.0,0.0,0.0,28.228700919911503,-2.7414041650720815,-8.189220885526435,24.11975043314694,53.88256374088465,17.14836848955894,0.0,399.62,0.0,0.0,-1331.707
2020-09-05,381.2,383.89,310.88,320.96,119.962,94.0,343.958056718,375.856,402.159,0.0,0.0,0.0,0.0,390.62768349979694,399.60120020703715,0.0,0.0,0.0,36.159302007242005,-3.34088356050879,4.370577502285013,20.07318926970103,44.84270694696363,22.997766908790325,0.0,399.62,0.0,0.0,-1211.7450000000001
2020-09-06,319.41,359.69,319.41,346.5,316.629,192.0,338.7545697646,357.56399999999996,397.25100000000003,0.0,0.0,0.0,0.0,383.8786548463508,395.607925177005,0.0,0.0,0.0,36.06017342127531,-3.4657863672385503,4.575163398692821,18.20052275454788,40.65924438801895,26.494599391800463,0.0,399.62,0.0,0.0,-1528.3740000000003
2020-09-07,344.71,356.03,324.41,345.91,196.737,220.0,336.8233845692,347.12399999999997,390.418,395.931,0.0,0.0,0.0,376.652000466251,391.2921971943729,37.3587673645692,321.21346527086155,470.6485347291384,34.29270945322459,-3.567741937678658,-3.9797911501765473,16.187273285695408,36.16172509848823,28.81520140223356,0.0,399.62,0.0,0.0,-1725.1110000000003
2020-09-08,345.85,349.11,326.28,335.61,244.512,312.0,354.0544561821,344.59000000000003,385.18600000000004,393.1295,0.0,0.0,0.0,376.2531943896982,390.0842718158267,36.79549612044932,319.5385077591014,466.72049224089864,45.087620715363116,-2.2272749336629287,12.474645030425968,20.255888560779994,30.853478778203492,30.244119152868382,0.0,399.62,0.0,0.0,-1480.5990000000004
2020-09-09,336.02,373.97,334.94,373.97,301.404,266.0,367.081979204,351.89,376.603,390.403,0.0,0.0,0.0,373.4749235676753,387.8741111490761,37.313596328952286,315.77580734209545,465.0301926579046,41.89722922467392,-1.6935460521935752,1.0029299075952025,19.025316360579623,27.80266241259051,28.702785262517615,0.0,395.23,0.0,0.0,-1782.0030000000004
